,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",85,81.74,439,429.05,2171,2139.91,2256,2196.28,303,289.25,108,77.89,5362,5214.12,12,12,0,0,62,55.6,16,9.26,90,76.86,"5,452","5,290.98","£20,159,047.13","£925,679.21","£202,800.00","£85,402.09","£5,648,818.09","£2,391,552.97","£29,413,299.49","£2,194,253.00","£1,009,682.00","£3,203,935.00","£32,617,234.49",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",409,383.67,442,410.44,193,181.23,16,14.64,1,1.00,0,0,1061,990.98,11,11,8,8,22,22,0,0,41,41.00,"1,102","1,031.98","£2,588,422.03","£21,995.93","£2,670.00","£6,133.60","£85,263.33","£255,370.99","£2,959,855.88",£0.00,£0.00,£0.00,"£2,959,855.88",,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1457,1417.70,146,143.50,26,25.80,0,0.00,0,0.00,0,0,1629,1587.00,0,0,0,0,0,0,0,0,0,0.00,"1,629","1,587.00","£4,945,545.00","£106,643.61","£24,193.70","£592,207.91","£926,181.37","£629,162.17","£7,223,933.76",£0.00,£0.00,£0.00,"£7,223,933.76",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.80,26,25.50,170,166.00,60,60.00,2,2.00,0,0,272,266.30,10,10,0,0,0,0,0,0,10,10.00,282,276.30,"£1,014,268.90","£29,853.41","£1,201.34","£3,400.83","£274,650.04","£116,358.33","£1,439,732.85","£79,901.86",£0.00,"£79,901.86","£1,519,634.71",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,1,1.00,11,11.00,17,15.83,5,4.90,0,0,35,33.73,0,0,0,0,0,0,0,0,0,0.00,35,33.73,"£145,254.00",£0.00,£0.00,£0.00,"£39,461.00","£17,208.00","£201,923.00",,,£0.00,"£201,923.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",445,388.53,283,267.10,297,285.18,72,71.13,7,7.00,0,0,1104,1018.94,3,3,0,0,35,35,0,0,38,38.00,"1,142","1,056.94","£249,098.22","£26,982.77",£0.00,"£42,971.88","£673,379.23","£241,609.24","£1,234,041.34","£15,856.00","£330,832.00","£346,688.00","£1,580,729.34",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,0,0.00,4,3.72,7,7.00,0,0.00,1,1,17,16.72,0,0,0,0,0,0,2,2,2,2.00,19,18.72,"£69,675.69",£216.66,£0.00,£0.00,"£19,487.53","£7,927.82","£97,307.70",£0.00,"£4,450.00","£4,450.00","£101,757.70",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1789,1692.89,2160,1885.95,2023,1821.44,293,276.92,25,25.00,0,0,6290,5702.19,0,0,10,10,36,36,5,5,51,51.00,"6,341","5,753.19","£14,686,123.11","£237,363.02","£1,050.00","£1,342,112.13","£3,961,106.60","£12,520,695.43","£32,748,450.29","£291,482.34","£39,588.62","£331,070.96","£33,079,521.25",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",625,589.54,215,203.60,802,770.15,147,144.02,9,9.00,0,0,1798,1716.31,63,63,0,0,6,6,0,0,69,69.00,"1,867","1,785.31","£4,681,284.51","£22,665.66","£173,200.00","£14,809.48","£1,432,122.54","£591,445.89","£6,915,528.08","£403,474.36",£0.00,"£403,474.36","£7,319,002.44",,,
