Year,Month,Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: Published alongside your row of information)"
,,,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, unspecified",,"Total
Employees",,Agency staff ,,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
2022,February,"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",173,158.08,645,623.03,3239,3133.7,2155,2078.08,193,186.92,36,36,"6,441","6,216",45,44.6,433,431.4,315,314.4,3,3,796,793.4,"7,237","7,009","£30,449,085.00","£59,607.00","£424,923.00","£61,553.00","£5,865,942.00","£2,471,193.00","£39,332,303.00","£10,841,257.16","£1,421,462.89","£12,262,720.05","£51,595,023.05",
2022,February,Animal and Plant Health Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",917,859.41,801,763.61,916,874.09,221,214.41,4,4,0,0,"2,859","2,716",115,115,29,29,0,0,0,0,144,144,"3,003","2,860","£6,738,808.36","£143,401.61","£40,212.53","£563,379.28","£1,877,269.60","£746,545.89","£10,109,617.27","£562,432.14",£0.00,"£562,432.14","£10,672,049.41",
2022,February,"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",52,47.56,147,135.97,326,310.44,117,110.78,4,4,0,0,646,609,0,0,0,0,0,0,0,0,0,0,646,609,"£1,729,540.00","£10,602.00",£0.00,"£28,952.00","£473,913.00","£188,178.00","£2,431,185.00",£0.00,£0.00,£0.00,"£2,431,185.00",
2022,February,Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",1309,1194.41,617,565.55,483,450.97,102,98.16,7,6.46,0,0,"2,518","2,316",62,59.64,0,0,5,5,0,0,67,64.64,"2,585","2,380","£4,977,340.26","£4,182.08","£9,850.00","£99,337.04","£1,320,184.57","£449,020.13","£6,859,914.08","£262,473.00",£0.00,"£262,473.00","£7,122,387.08",
2022,February,Veterinary Medicines Directorate,Executive Agency,"Department for Environment, Food and Rural Affairs",28,26.56,23,22.58,61,58.97,59,58.36,1,1,0,0,172,167,14,13.4,0,0,0,0,0,0,14,13.4,186,181,"£565,770.22","£17,208.00",£0.00,"£6,113.64","£75,985.00","£170,333.76","£835,410.62","£57,250.00",£0.00,"£57,250.00","£892,660.62",
2022,February,Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,404,387.03,404,387,0,0,0,0,1,1,0,0,1,1,405,388,"£1,290,882.83","£63,691.53",£0.00,£0.00,"£123,377.91","£151,689.21","£1,629,641.48",£0.00,£0.00,£0.00,"£1,629,641.48",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain. No funding towards staffing or other running costs is received from the government. 
2022,February,Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",8,7.18,28,26.68,25,23.99,11,10.81,5,4.81,0,0,77,73,2,2,0,0,0,0,0,0,2,2,79,75,"£223,815.93","£1,984.83",£0.00,£68.01,"£58,194.85","£23,247.35","£307,310.97","£9,851.83",£0.00,"£9,851.83","£317,162.80",
2022,February,Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1523,1429,2603,2457.95,3434,3238.09,2409,2290.76,100,98.81,794,779.69,"10,863","10,294",269,259.39,45,42.81,6,4.95,297,257.6,617,564.75,"11,480","10,859","£30,110,311.57","£311,307.27","£1,440.00","£1,089,233.57","£4,520,633.34","£3,247,684.00","£39,280,609.75","£936,162.05","£2,871,477.75","£3,807,639.80","£43,088,249.55",
2022,February,Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,9,35,34.6,187,178.78,30,28.62,2,2,7,0.99,270,254,0,0,0,0,0,0,1,1,1,1,271,255,"£678,162.35","£18,751.59",£0.00,"£2,446.98","£187,713.44","£69,643.60","£956,717.96",£0.00,"£3,123.75","£3,123.75","£959,841.71",January data has been used as the February data is unavailable. 
2022,February,Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",29,23.57,129,126.69,179,174.96,64,63.69,8,6.19,9,9,418,404,28,27.1,9,8.5,12,12,0,0,49,47.6,467,452,"£1,126,362.75","£29,820.25","£3,500.00","£26,143.00","£293,575.00","£119,319.00","£1,598,720.00","£525,978.00",£0.00,"£525,978.00","£2,124,698.00",
2022,February,National Forest Company,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,4,3.31,23,22.5,4,4,1,1,0,0,32,31,0,0,0,0,0,0,0,0,0,0,32,31,"£91,969.95",£0.00,£0.00,£15.00,"£25,095.00","£9,432.00","£126,511.95",£0.00,£0.00,£0.00,"£126,511.95",
2022,February,Natural England,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",130,117.51,349,328.62,1790,1671.01,276,264.33,28,26.76,11,10.65,"2,584","2,419",61,61,0,0,0,0,0,0,61,61,"2,645","2,480","£6,299,172.05","£62,268.74","£15,125.00","£24,659.81","£1,707,220.52","£618,301.39","£8,726,747.51","£160,000.00",£0.00,"£160,000.00","£8,886,747.51",
2022,February,"Royal Botanic Gardens, Kew",Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",295,211.5,206,156.01,276,264.04,83,81.04,10,10,61,60.28,931,783,0,0,2,2,15,15,1,1,18,18,949,801,"£2,228,248.59","£15,350.36",£0.00,"£25,485.06","£476,338.10","£226,097.83","£2,971,519.94","£174,613.49","£23,989.51","£198,603.00","£3,170,122.94",
2022,February,Sea Fish Industry Authority,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",30,29.06,31,30.7,15,15,4,4,1,1,0,0,81,80,1,1,0,0,0,0,0,0,1,1,82,81,"£269,200.13",£0.00,£0.00,£0.00,"£50,892.73","£28,000.00","£348,092.86","£10,450.00",£0.00,"£10,450.00","£358,542.86",
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
